Species,Sequence_lengths,Number_of_contigs,N50_contig,Average_contig_size,Average_N50,Coverage,Technology_used
Sesamum indicum , 340463922 ,87064 , 11517 ,3910,29561, 85.0 , Illumina+ 454+ Illumina MiSeq
Eragrostis tef , 607317615 ,112599 , 7532  ,5393,80631, 54.0 , Illumina HiSeq+ 454
Thlaspi arvense, 343012389 ,31889 , 28155 ,10756,12183, 80.0 , Illumina HiSeq+ Illumina MiSeq+ PacBio
Triticum aestivum, 65111056 ,22149 , 3124 ,2939,20842, 4.0 , 454
Raphanus sativus,341476849,20507 , 24475 ,16651,13952,267.0, 454+ PacBio+ Illumina HiSeq+ ABI3730
Primula veris,309692940 ,40851 , 13157 ,7581,23538, 116.0 , Illumina HiSeq+ Illumina MiSeq+ PacBio
Conyza canadensis ,326165195 ,20075 , 20748 ,16247,15720, 350.0 , 454+ Illumina HiSeq+ PacBio
Vaccinium macrocarpon ,414621889 ,200946 , 4278 ,2063,96919, 20.0 , Illumina GAIIx
Raphanus raphanistrum  ,253833977 ,64732 , 10186 ,3921,24919, 47.0 , Illumina GAIIx+ 454
Glycine soja ,806921190,128699 , 24258 ,6269,33264, 63.1, Illumina GAIIx
Spirodela polyrhiza,132009443 ,16051,14533 ,8224,9083, 22.0, 454+ ABI3730
Camelina sativa,547649377 ,55170,15644 ,9926,35006, 160.0, 454+ Illumina
Pinus taeda,265480119,90954,16205 ,2918,16382, 50, Illumina GAIIx
Cicer arietinum,446428800,215549,8993 ,2071,49641, 13, 454+ Illumina GAIIx

