study,chromosome,pre-filtering,parental,centromere,,,,,,
BCF2,1,219,32,3,,,,,,
BCF2,2,284,30,6,,,,,,
BCF2,3,307,47,17,,,,,,
BCF2,4,554,52,6,,,,,,
BCF2,5,314,31,15,,,,,,
,,1678,192,47,,,,,,
OCF2,1,2381,173,39,,,,,,
OCF2,2,949,196,151,,,,,,
OCF2,3,1938,253,132,,,,,,
OCF2,4,1885,126,61,,,,,,
OCF2,5,2055,2281,2106,,,,,,
,,9208,3029,2489,,,,,,
B,1,352,62,11,,,,,,
B,2,258,12,3,,,,,,
B,3,259,30,10,,,,,,
B,4,546,54,41,,,,,,
B,5,279,42,25,,,,,,
,,1694,200,90,,,,,,
C,1,373,49,9,,,,,,
C,2,258,18,1,,,,,,
C,3,250,17,5,,,,,,
C,4,542,44,18,,,,,,
C,5,303,65,48,,,,,,
,,1726,193,81,,,,,,
sup1,1,6380,2209,1846,,,,,,
sup1,2,1398,374,310,,,,,,
sup1,3,2993,930,783,,,,,,
sup1,4,14348,5005,4176,,,,,,
sup1,5,2429,758,716,,,,,,
,,27548,9276,7831,,,,,,
