Position,Ratio
788,2.0
807,1.5
812,1.5
843,2.0
860,1.6666666666666667
871,1.6666666666666667
879,1.6666666666666667
885,1.6666666666666667
911,2.0
915,2.0
929,2.0
930,2.0
935,2.0
940,5.5
948,5.5
954,5.5
960,5.5
967,5.5
972,5.5
973,5.5
976,5.5
981,5.5
987,3.0
989,3.0
997,3.0
999,3.0
1014,3.0
1031,3.3333333333333335
1033,3.3333333333333335
1037,3.3333333333333335
1044,3.3333333333333335
1045,3.3333333333333335
1050,3.3333333333333335
1059,3.3333333333333335
1061,3.3333333333333335
1063,3.3333333333333335
1071,3.5
1074,3.5
1079,3.5
1080,3.5
1091,3.5
1095,1.0
1180,1.5
1198,1.5
1208,1.0
