Position,Ratio
9773,0.5
22178,1.0
23681,1.0
33496,0.2
55086,1.0
112447,1.0
534324,0.1
709227,1.0
1207819,1.0
1228586,0.16666666666666666
1231174,1.0
1393852,1.0
1608281,1.0
1902865,1.0
1902868,1.0
1974587,0.3333333333333333
2276319,1.0
2599960,1.0
2644618,1.0
2687840,1.0
2707806,1.0
2932268,1.0
3071372,2.0
3071737,2.0
3073938,0.3333333333333333
3105817,1.0
3201598,1.0
3203316,0.5
3224111,1.0
3484626,1.0
3609104,0.21875
3609127,0.21875
3610043,0.21875
3610097,0.21875
3610168,0.21875
3610354,0.21875
3610413,0.21875
3611632,0.3
3611633,0.3
3611704,0.3
3611722,0.3
3611732,0.3
3611741,0.3
3613084,0.19047619047619047
3613231,0.19047619047619047
3613337,0.19047619047619047
3613569,0.19047619047619047
3614916,0.14285714285714285
3616325,0.14285714285714285
3617280,0.09523809523809523
3618553,0.09523809523809523
3619651,0.25
3620072,0.25
3621275,0.1111111111111111
3622702,0.2
3623342,0.16666666666666666
3626016,0.2
3632680,0.36363636363636365
3632718,0.36363636363636365
3633045,0.36363636363636365
3633099,0.36363636363636365
3634720,0.46153846153846156
3634721,0.46153846153846156
3634796,0.46153846153846156
3634910,0.46153846153846156
3634945,0.46153846153846156
3634946,0.46153846153846156
3858401,0.3333333333333333
3875451,1.0
3888241,0.2
4082598,0.08333333333333333
4187775,0.5
4189687,0.07142857142857142
4243283,0.3333333333333333
4380000,0.25
4652142,0.25
5240609,0.25
5277241,1.0
5296520,1.0
5494228,0.125
5497422,1.0
5568592,1.0
5733241,1.0
5874275,0.5
6054492,0.1111111111111111
6256782,1.0
6341089,1.0
6490864,1.0
6587842,1.0
6597506,1.0
6623487,1.0
6645172,1.0
6757636,2.0
6757655,2.0
7040931,1.0
7357619,1.0
9232220,1.0
9466604,1.0
9734921,1.0
9839313,1.0
9882046,1.0
10013522,1.0
10019560,1.0
10653840,1.0
10875256,1.0
10915427,1.0
11017525,1.0
11162058,0.16666666666666666
11216880,1.0
11584680,1.0
11603365,1.0
11857798,1.0
11905532,2.0
11905533,2.0
11910437,1.0
11958727,1.0
12142019,1.0
12226541,1.0
12388772,1.0
12428465,1.0
12519166,1.0
12744959,1.0
12868750,1.0
12938363,1.0
12951556,1.0
12979403,1.0
12998781,1.0
13109959,1.0
13257751,1.0
13259080,1.0
13292116,1.0
13364090,1.0
13523759,1.0
13557058,1.0
13558808,1.0
13602448,1.0
13951731,1.0
13971534,1.0
14316111,1.0
14320073,1.0
14827688,1.0
14906702,1.0
15086825,1.0
15226631,1.0
15273655,0.5
15286528,1.0
15593680,1.0
15609991,1.0
15644641,1.0
15714741,1.0
15777773,1.0
15848157,1.0
15861495,1.0
15876511,1.0
15907026,1.0
16119094,1.0
16143585,1.0
16148660,1.0
16219969,1.0
16238732,1.0
16256347,1.0
16456018,1.0
16597948,1.0
16683171,1.0
16792383,1.0
16838126,1.0
16863427,1.0
16875951,1.0
16982829,0.16666666666666666
17032160,1.0
17044105,1.0
17312141,1.0
17360989,1.0
17363726,1.0
17418367,0.25
17421593,1.0
17435968,1.0
18274573,1.0
18359741,1.0
18574257,1.0
18606953,1.0
18774111,1.0
18779106,1.0
18808927,1.0
18816626,1.0
18908972,1.0
18946473,1.0
19068964,1.0
19181359,1.0
19237195,1.0
19308373,1.0
19309911,1.0
19352435,1.0
19581770,1.0
19592410,1.0
19697625,0.09090909090909091
