Position,Ratio
3484626,1.0
6757636,2.0
6757655,2.0
7357619,1.0
9232220,1.0
9466604,1.0
9734921,1.0
9839313,1.0
10019560,1.0
10653840,1.0
10875256,1.0
10915427,1.0
11017525,1.0
11216880,1.0
11584680,1.0
11603365,1.0
11905532,3.0
11905533,3.0
11910437,3.0
11958727,1.0
12142019,1.0
12226541,1.0
12388772,1.0
12428465,1.0
12519166,1.0
12868750,1.0
12938363,1.0
12951556,1.0
12979403,1.0
12998781,1.0
13109959,1.0
13257751,1.0
13259080,1.0
13292116,1.0
13523759,1.0
13558808,1.0
13602448,1.0
13951731,1.0
14316111,1.0
14320073,1.0
14827688,1.0
14906702,1.0
15086825,1.0
15226631,1.0
15286528,1.0
15593680,1.0
15644641,1.0
15714741,1.0
15777773,1.0
15848157,2.0
15861495,2.0
15876511,1.0
15907026,1.0
16119094,1.0
16143585,1.0
16148660,1.0
16219969,1.0
16238732,1.0
16256347,1.0
16456018,1.0
16597948,1.0
16683171,1.0
16792383,1.0
16838126,1.0
16863427,1.0
16875951,1.0
17032160,1.0
17044105,1.0
17312141,1.0
17360989,2.0
17363726,2.0
17435968,1.0
18274573,1.0
18359741,1.0
18574257,1.0
18606953,1.0
18779106,1.0
18808927,1.0
18816626,1.0
18908972,1.0
18946473,1.0
19068964,1.0
19181359,1.0
19237195,1.0
19308373,2.0
19309911,2.0
19352435,1.0
19581770,1.0
19592410,1.0
