Position,Ratio
501898,0.4
498831,1.0
496618,2.0
497862,0.5
497801,2.0
493059,2.0
503318,2.0
503687,2.0
498724,2.0
501457,3.0
499596,3.0
498966,6.0
500506,6.0
503321,6.0
501541,6.0
491748,6.0
502512,10.0
502305,10.0
499114,10.0
501259,10.0
503654,10.0
499148,10.0
494601,10.0
493393,10.0
500892,10.0
501110,3.0
507891,3.0
494521,3.0
503975,3.0
502819,3.0
500684,3.0
506268,3.0
498955,3.0
497206,4.25
500425,4.25
500008,4.25
499868,4.25
503991,4.25
499672,4.25
499071,4.25
495507,4.25
498926,4.25
500884,4.25
506257,4.25
500446,4.25
494498,4.25
502898,4.25
506932,4.25
499909,4.25
505125,4.25
496456,4.25
505286,4.25
499412,4.25
491014,4.25
500229,4.25
501180,4.25
502456,4.25
502382,4.25
497050,4.25
497906,4.25
499799,4.25
499171,4.25
511615,4.25
496802,4.25
505786,4.25
505789,4.25
507937,13.0
504736,13.0
499901,13.0
494677,13.0
502281,13.0
495206,13.0
503533,13.0
504435,13.0
504977,13.0
499036,13.0
495248,13.0
497234,13.0
496689,13.0
499067,13.0
492017,13.0
504655,13.0
492482,13.0
500178,13.0
503403,13.0
501759,13.0
503594,13.0
492338,13.0
504109,13.0
500656,13.0
500387,13.0
500742,47.0
502348,47.0
501080,47.0
506641,47.0
504638,47.0
505933,47.0
499768,47.0
500767,47.0
499543,47.0
498942,47.0
504559,47.0
493739,47.0
506716,47.0
498110,47.0
496352,47.0
501067,47.0
497738,47.0
501401,47.0
495324,47.0
498613,47.0
508429,47.0
491655,47.0
497091,47.0
497884,47.0
502611,47.0
504668,47.0
500529,47.0
491781,47.0
497240,47.0
500170,47.0
504692,47.0
499726,47.0
495871,47.0
500827,47.0
497130,47.0
504755,47.0
494822,47.0
503682,47.0
501051,47.0
505131,47.0
497225,47.0
497929,47.0
497391,47.0
503499,47.0
500828,47.0
494947,47.0
502344,64.0
502346,64.0
500040,64.0
497866,64.0
500683,64.0
499450,64.0
497030,64.0
508021,64.0
501035,64.0
501490,64.0
498278,64.0
501487,64.0
501065,64.0
492653,64.0
500911,64.0
501017,64.0
496931,64.0
500923,64.0
490948,64.0
497126,64.0
497727,64.0
500422,64.0
498273,64.0
496160,64.0
496108,64.0
509329,64.0
497507,64.0
502752,64.0
502997,64.0
496298,64.0
491292,64.0
493181,64.0
500602,64.0
500727,64.0
505650,64.0
499762,64.0
503342,64.0
503880,64.0
498412,64.0
496572,64.0
499062,64.0
500924,64.0
499197,64.0
499523,64.0
498509,64.0
505939,64.0
501000,64.0
498706,64.0
500889,64.0
502427,64.0
499895,64.0
503869,64.0
502176,64.0
500996,64.0
497062,64.0
495367,64.0
497722,64.0
502127,64.0
499919,64.0
500908,64.0
497831,64.0
499990,64.0
504851,64.0
498006,55.0
497718,55.0
503693,55.0
506739,55.0
503937,55.0
503724,55.0
492324,55.0
495782,55.0
499449,55.0
494660,55.0
507689,55.0
500325,55.0
503187,55.0
503472,55.0
492913,55.0
501385,55.0
496974,55.0
508579,55.0
492186,55.0
503213,55.0
495533,55.0
500026,55.0
500992,55.0
497983,55.0
501128,55.0
494616,55.0
492027,55.0
497991,55.0
492540,55.0
500185,55.0
499345,55.0
502109,55.0
511490,55.0
499364,55.0
497630,55.0
496604,55.0
490788,55.0
507402,55.0
496810,55.0
509049,55.0
501688,55.0
504626,55.0
499656,55.0
502492,55.0
506918,55.0
498224,55.0
494040,55.0
506396,55.0
502256,55.0
497073,55.0
493954,55.0
490321,55.0
499004,55.0
506575,55.0
500655,101.0
496609,101.0
496127,101.0
497729,101.0
496666,101.0
494536,101.0
503087,101.0
500669,101.0
492410,101.0
498826,101.0
499866,101.0
501706,101.0
498178,101.0
497296,101.0
500528,101.0
503172,101.0
500705,101.0
500267,101.0
497155,101.0
501569,101.0
493225,101.0
497773,101.0
501108,101.0
494119,101.0
502113,101.0
500295,101.0
502243,101.0
506285,101.0
506451,101.0
502784,101.0
498173,101.0
500159,101.0
502155,101.0
508096,101.0
495526,101.0
498552,101.0
497996,101.0
502479,101.0
500688,101.0
499257,101.0
496036,101.0
502566,101.0
497824,101.0
493844,101.0
502291,101.0
505940,101.0
497310,101.0
496125,101.0
503065,101.0
499960,101.0
502950,101.0
497586,101.0
501425,101.0
487515,101.0
495669,101.0
497814,101.0
496581,101.0
501666,101.0
502022,101.0
495447,101.0
499660,101.0
496576,101.0
497066,101.0
496286,101.0
497917,101.0
497997,101.0
501538,101.0
505277,101.0
503452,101.0
502372,101.0
500906,101.0
500482,101.0
493302,101.0
503444,101.0
501502,101.0
496369,101.0
500500,101.0
498435,101.0
503821,101.0
502182,101.0
506180,101.0
505423,101.0
495630,101.0
503846,101.0
502336,101.0
505890,101.0
503619,101.0
500385,101.0
499900,101.0
497357,101.0
500355,101.0
503993,101.0
494765,101.0
495322,101.0
497588,101.0
499631,101.0
501599,101.0
509133,101.0
498608,101.0
498936,101.0
500833,25.666666666666668
492934,25.666666666666668
500038,25.666666666666668
506529,25.666666666666668
500734,25.666666666666668
502280,25.666666666666668
500540,25.666666666666668
500459,25.666666666666668
499792,25.666666666666668
494129,25.666666666666668
497171,25.666666666666668
499385,25.666666666666668
502820,25.666666666666668
504909,25.666666666666668
502559,25.666666666666668
503026,25.666666666666668
496074,25.666666666666668
497821,25.666666666666668
496990,25.666666666666668
496373,25.666666666666668
500600,25.666666666666668
501731,25.666666666666668
499781,25.666666666666668
498398,25.666666666666668
495364,25.666666666666668
497280,25.666666666666668
505454,25.666666666666668
504682,25.666666666666668
504428,25.666666666666668
498879,25.666666666666668
505224,25.666666666666668
495383,25.666666666666668
498113,25.666666666666668
495520,25.666666666666668
498041,25.666666666666668
493832,25.666666666666668
502876,25.666666666666668
502392,25.666666666666668
503009,25.666666666666668
509538,25.666666666666668
499994,25.666666666666668
500080,25.666666666666668
504999,25.666666666666668
502266,25.666666666666668
502064,25.666666666666668
495292,25.666666666666668
505493,25.666666666666668
501862,25.666666666666668
488865,25.666666666666668
500719,25.666666666666668
499625,25.666666666666668
501274,25.666666666666668
494969,25.666666666666668
509010,25.666666666666668
494176,25.666666666666668
506841,25.666666666666668
494290,25.666666666666668
497053,25.666666666666668
491488,25.666666666666668
495685,25.666666666666668
499025,25.666666666666668
495674,25.666666666666668
502528,25.666666666666668
496673,25.666666666666668
498903,25.666666666666668
504798,25.666666666666668
500148,25.666666666666668
497889,25.666666666666668
499975,25.666666666666668
501320,25.666666666666668
501648,25.666666666666668
493601,25.666666666666668
501165,25.666666666666668
498361,25.666666666666668
510114,25.666666666666668
503978,25.666666666666668
501700,42.666666666666664
503238,42.666666666666664
495580,42.666666666666664
498956,42.666666666666664
494172,42.666666666666664
495092,42.666666666666664
501823,42.666666666666664
496748,42.666666666666664
503826,42.666666666666664
506940,42.666666666666664
494394,42.666666666666664
500855,42.666666666666664
498674,42.666666666666664
492287,42.666666666666664
503853,42.666666666666664
499878,42.666666666666664
497556,42.666666666666664
500497,42.666666666666664
500704,42.666666666666664
494446,42.666666666666664
505322,42.666666666666664
502741,42.666666666666664
504576,42.666666666666664
502926,42.666666666666664
501605,42.666666666666664
496824,42.666666666666664
500806,42.666666666666664
502692,42.666666666666664
500623,42.666666666666664
498483,42.666666666666664
496883,42.666666666666664
506404,42.666666666666664
499814,42.666666666666664
505288,42.666666666666664
503216,42.666666666666664
498564,42.666666666666664
505046,42.666666666666664
493149,42.666666666666664
