Position,Ratio
633170,1.0
922433,0.5
1016507,0.6666666666666666
1116697,2.0
1398072,1.0
1653346,0.5
1763961,0.4
2327952,2.0
3588533,2.0
3991617,2.0
4197721,2.0
5271282,3.0
5276811,3.0
5486481,1.0
5740226,1.5
5741941,1.5
5901236,2.0
5938570,2.0
6026469,2.0
6420060,1.0
6646943,1.5
6681734,1.5
6934331,3.0
6972366,3.0
7598044,2.0
7774113,3.0
7860740,3.0
8351039,2.0
8873630,0.2222222222222222
9042744,3.0
9060525,3.0
9170821,1.3333333333333333
9194612,1.3333333333333333
9216759,1.3333333333333333
9437278,2.0
9525661,2.0
9604887,2.0
10051518,2.0
10272949,2.0
10350722,3.0
10381734,3.0
10752574,2.0
10815851,3.0
10840841,3.0
11032576,2.0
11246132,2.0
11317344,3.0
11401354,3.0
11485861,3.0
11512534,3.0
11531972,3.0
11578640,3.0
11607709,3.0
11801531,2.0
11892292,3.0
11895819,3.0
11969678,3.0
12021302,3.0
12250838,5.0
12269904,5.0
12355279,5.0
12375231,5.0
13057133,2.0
13379621,1.5
13418344,1.5
13559187,0.5
13579326,0.5
14050488,2.0
14051638,2.0
14052672,2.0
14156745,0.17647058823529413
14261385,0.17647058823529413
14360046,1.0
14396976,1.0
14509094,0.875
14509096,0.875
14509123,0.875
14509131,0.875
14509140,0.875
14509524,0.875
15890027,4.0
15902129,4.0
15937317,4.0
16300328,1.0
16515535,0.0410958904109589
16522650,0.0410958904109589
16763822,0.4
17571721,2.0
18510852,1.0
18872523,0.6666666666666666
19043126,1.0
23126251,0.6666666666666666
25280015,2.0
