Position,Ratio
117328,4.0
117329,4.0
117331,4.0
417956,4.0
421839,4.0
422177,4.0
1291664,3.0
1299204,3.0
1490429,3.0
1490431,3.0
2002182,4.0
2004509,4.0
2004519,4.0
2080758,3.0
2082882,3.0
2757115,4.0
2757149,4.0
2757164,4.0
2845346,2.5
2853382,2.5
2853391,2.5
2855156,2.5
3894453,4.0
3894472,4.0
3900876,4.0
6172636,4.0
6172643,4.0
6172644,4.0
6853061,3.0
6853067,3.0
7036074,3.0
7040044,3.0
7635401,3.0
7635410,3.0
7896613,4.0
7900432,4.0
7900433,4.0
8344101,3.0
8349684,3.0
8415419,4.0
8415420,4.0
8417036,4.0
8707952,2.5
8707966,2.5
8710877,2.5
8716446,2.5
8718269,4.0
8718271,4.0
8723778,4.0
10618147,3.0
10618160,3.0
10951985,3.0
10956328,3.0
12348332,7.0
12348334,7.0
12348345,7.0
12353495,7.0
12354908,7.0
12358178,7.0
12542314,5.0
12542325,5.0
12542333,5.0
12544617,5.0
12910732,3.0
12911915,3.0
13075677,5.0
13075678,5.0
13075680,5.0
13075702,5.0
13825338,4.0
13825404,4.0
13833469,4.0
15867457,2.5
15867495,2.5
15867506,2.5
15873672,2.5
16025232,4.0
16025238,4.0
16025243,4.0
16407044,3.0
16407045,3.0
16612854,3.0
16612855,3.0
17100140,3.0
17100330,3.0
17910194,4.0
17911536,4.0
17919419,4.0
17945902,3.0
17951387,3.0
18324816,3.0
18324959,3.0
18516153,3.0
18521150,3.0
19218596,4.0
19220179,4.0
19223792,4.0
19298888,3.0
19298889,3.0
19430492,3.0
19430888,3.0
19487513,3.0
19493938,3.0
20737934,3.0
20743913,3.0
21055043,3.5
21055050,3.5
21064485,3.5
21066941,3.5
21066948,3.5
21066950,3.5
21099948,3.0
21106674,3.0
21130809,4.0
21133899,4.0
21135008,4.0
21172582,3.0
21172591,3.0
21374455,3.0
21381155,3.0
21429519,3.0
21429524,3.0
21473751,3.0
21479717,3.0
21522329,2.3333333333333335
21522335,2.3333333333333335
21534933,2.3333333333333335
21535450,2.3333333333333335
21535451,2.3333333333333335
21536502,2.3333333333333335
21778553,3.0
21778616,3.0
21852156,3.0
21852163,3.0
22173328,3.0
22175545,3.0
22295223,3.0
22295250,3.0
22377485,3.0
22377488,3.0
22377492,3.0
22378803,3.0
22378811,3.0
22380346,3.0
22380349,3.0
22380373,3.0
22735602,4.0
22735619,4.0
22739146,4.0
22741574,4.0
22741581,4.0
22741582,4.0
22741591,4.0
22776660,8.0
22776664,8.0
22779334,8.0
22781370,8.0
22784904,8.0
22785500,8.0
22786627,8.0
23066835,2.5
23068330,2.5
23068332,2.5
23078759,2.5
23144465,13.0
23145537,13.0
23149330,13.0
23151248,13.0
23151249,13.0
23151265,13.0
23151266,13.0
23151276,13.0
23151281,13.0
23153461,13.0
23154517,13.0
23154520,13.0
23338193,5.0
23346182,5.0
23346189,5.0
23351852,5.0
23354441,2.5
23354464,2.5
23364282,2.5
23370035,2.5
23481664,3.0
23482070,3.0
23515074,6.0
23516846,6.0
23521573,6.0
23521588,6.0
23526367,6.0
23537550,4.0
23537676,4.0
23549786,4.0
23568183,4.0
23575151,4.0
23579140,4.0
23610649,4.0
23612277,4.0
23612281,4.0
23629352,3.0
23629928,3.0
23631132,3.0
23640639,3.0
23643612,3.0
23725803,2.5
23725814,2.5
23729178,2.5
23729193,2.5
23940906,3.0
23941719,3.0
24003883,3.0
24007939,3.0
24129324,2.6666666666666665
24129357,2.6666666666666665
24129633,2.6666666666666665
24130269,2.6666666666666665
24130271,2.6666666666666665
24130275,2.6666666666666665
24131697,2.6666666666666665
24146407,4.0
24146409,4.0
24149378,4.0
24256297,9.0
24256301,9.0
24258735,9.0
24260912,9.0
24265301,9.0
24265410,9.0
24270348,9.0
24272122,9.0
24329791,5.0
24335491,5.0
24339042,5.0
24339055,5.0
24436694,8.0
24442597,8.0
24442600,8.0
24447417,8.0
24447420,8.0
24448518,8.0
24448528,8.0
24610545,2.3333333333333335
24610809,2.3333333333333335
24612627,2.3333333333333335
24615334,2.3333333333333335
24615336,2.3333333333333335
24616932,2.3333333333333335
24618781,2.6666666666666665
24620711,2.6666666666666665
24620805,2.6666666666666665
24621326,2.6666666666666665
24621397,2.6666666666666665
24621407,2.6666666666666665
24621409,2.6666666666666665
24753311,4.0
24753315,4.0
24759684,4.0
24871675,4.0
24874802,4.0
24874806,4.0
24935060,5.0
24937416,5.0
24938179,5.0
24942072,5.0
24967393,7.0
24967397,7.0
24973405,7.0
24973408,7.0
24973433,7.0
24973447,7.0
25009180,3.0
25014335,3.0
25015513,3.0
25016634,3.0
25017675,3.0
25117634,5.0
25117648,5.0
25122888,5.0
25124436,5.0
25144800,5.0
25150941,5.0
25151658,5.0
25158642,5.0
25179151,9.0
25180033,9.0
25180085,9.0
25180098,9.0
25180119,9.0
25181278,9.0
25181813,9.0
25182125,9.0
25196814,3.0
25197783,3.0
25218560,3.0
25218598,3.0
25318644,3.5
25318853,3.5
25320192,3.5
25322532,3.5
25322536,3.5
25323481,3.5
25449119,3.0
25449120,3.0
25449124,3.0
25452442,3.0
25454050,3.0
25529251,4.0
25534281,4.0
25534703,4.0
25603865,4.0
25605435,4.0
25605825,4.0
25638424,3.0
25641166,3.0
25657015,3.0
25659799,3.0
25667931,6.0
25670911,6.0
25673450,6.0
25673459,6.0
25674322,6.0
25699414,3.0
25699452,3.0
25701172,3.0
25701173,3.0
25705448,3.0
25749972,11.0
25749974,11.0
25750014,11.0
25751216,11.0
25751218,11.0
25753797,11.0
25757470,11.0
25757477,11.0
25757493,11.0
25762752,11.0
25849137,3.0
25850571,3.0
25876643,3.0
25883483,3.0
25888912,5.0
25889912,5.0
25890823,5.0
25895413,5.0
25954697,5.0
25956646,5.0
25962590,5.0
25962591,5.0
26019310,6.0
26022707,6.0
26024946,6.0
26025564,6.0
26026612,6.0
26088370,4.333333333333333
26088549,4.333333333333333
26091604,4.333333333333333
26092206,4.333333333333333
26093584,4.333333333333333
26094912,4.333333333333333
26097089,4.333333333333333
26097090,4.333333333333333
26097094,4.333333333333333
26097096,4.333333333333333
26097100,4.333333333333333
26097138,4.333333333333333
26113932,2.5714285714285716
26117918,2.5714285714285716
26119646,2.5714285714285716
26120464,2.5714285714285716
26120475,2.5714285714285716
26120478,2.5714285714285716
26120503,2.5714285714285716
26120516,2.5714285714285716
26120687,2.5714285714285716
26120820,2.5714285714285716
26122201,2.5714285714285716
26123512,2.5714285714285716
26124034,2.5714285714285716
26124058,2.5714285714285716
26125342,2.5714285714285716
26126481,2.5714285714285716
26126484,2.5714285714285716
26160455,3.0
26162155,3.0
26165330,3.0
26167602,3.0
26167647,3.0
26167665,3.0
26171702,3.0
26171719,3.0
26179550,3.0
26179824,3.0
26316596,5.0
26320092,5.0
26320793,5.0
26321300,5.0
26348726,4.0
26354051,4.0
26354468,4.0
26361891,4.0
26362813,4.0
26364667,4.0
26380200,3.0
26388385,3.0
26492130,3.0
26496312,3.0
26522175,3.0
26527770,3.0
26545258,3.3333333333333335
26547689,3.3333333333333335
26547691,3.3333333333333335
26548958,3.3333333333333335
26552007,3.3333333333333335
26552595,3.3333333333333335
26552612,3.3333333333333335
26555403,3.3333333333333335
26555868,3.3333333333333335
26613821,5.0
26618661,5.0
26621778,5.0
26628656,5.0
26698196,3.0
26699440,3.0
26801301,4.0
26803191,4.0
26810503,4.0
26936891,2.5
26936903,2.5
26943548,2.5
26943551,2.5
27088415,4.0
27090170,4.0
27097737,4.0
27108363,5.0
27108366,5.0
27115584,5.0
27119937,5.0
27122538,3.5
27130674,3.5
27132993,3.5
27133966,3.5
27133967,3.5
27133968,3.5
27138200,2.5
27140912,2.5
27141565,2.5
27141569,2.5
27169656,3.0
27170394,3.0
27303939,2.5
27303953,2.5
27304016,2.5
27304025,2.5
27304052,2.5
27304071,2.5
27304376,2.5
27304635,2.5
27304641,2.5
27304647,2.5
27304670,2.5
27306890,2.5
27308225,2.5
27310904,2.5
27426176,3.3333333333333335
27427117,3.3333333333333335
27427122,3.3333333333333335
27430362,3.3333333333333335
27430584,3.3333333333333335
27433221,3.3333333333333335
27433228,3.3333333333333335
27433229,3.3333333333333335
27433236,3.3333333333333335
27535052,3.0
27536095,3.0
27536110,3.0
27536117,3.0
27536125,3.0
27552985,4.0
27558104,4.0
27560607,4.0
27662727,4.5
27664872,4.5
27665416,4.5
27665417,4.5
27667143,4.5
27667866,4.5
27667867,4.5
27667868,4.5
27679235,5.0
27683381,5.0
27684842,5.0
27691899,5.0
27749384,5.0
27749399,5.0
27750108,5.0
27759646,5.0
27766381,3.0
27774192,3.0
27804176,3.0
27805318,3.0
27864425,4.0
27869584,4.0
27871419,4.0
27874513,3.0
27878486,3.0
27902464,3.0
27903238,3.0
27903682,3.0
27903695,3.0
27905379,3.0
27910455,3.0
27910456,3.0
27910457,3.0
28126142,3.6666666666666665
28127880,3.6666666666666665
28129558,3.6666666666666665
28130562,3.6666666666666665
28130565,3.6666666666666665
28131644,3.6666666666666665
28132348,3.6666666666666665
28132349,3.6666666666666665
28132388,3.6666666666666665
28132451,3.6666666666666665
28310190,4.0
28312678,4.0
28313267,4.0
28335419,3.0
28335510,3.0
28397641,5.0
28398817,5.0
28402844,5.0
28402845,5.0
28439574,5.0
28441659,5.0
28441661,5.0
28443729,5.0
28541508,7.0
28542679,7.0
28542700,7.0
28542713,7.0
28543594,7.0
28551933,7.0
28749548,4.0
28749564,4.0
28749586,4.0
29037956,6.0
29048902,6.0
29048912,6.0
29048934,6.0
29049642,6.0
29062577,3.0
29063178,3.0
29069703,3.0
29069715,3.0
29070186,3.0
29070205,3.0
29070919,3.0
29070930,3.0
29071126,3.0
29071132,3.0
29263859,5.0
29263862,5.0
29265771,5.0
29265792,5.0
29361819,3.0
29364291,3.0
29372412,3.3333333333333335
29375654,3.3333333333333335
29382874,3.3333333333333335
29383004,3.3333333333333335
29383853,3.3333333333333335
