Position,Ratio
9773,0.5238095238095238
22178,1.0
23681,1.0
33496,0.21568627450980396
55086,1.0
112447,11.0
534324,0.10891089108910892
709227,11.0
1207819,11.0
1228586,0.18032786885245905
1231174,11.0
1393852,11.0
1608281,11.0
1902865,1.0
1902868,1.0
1974587,0.3548387096774194
2276319,11.0
2599960,1.0
2644618,11.0
2687840,11.0
2707806,11.0
2932268,11.0
3071372,21.0
3071737,21.0
3073938,0.3548387096774194
3105817,1.0
3201598,1.0
3203316,0.5238095238095238
3224111,11.0
3484626,11.0
3609104,0.22118380062305293
3609127,0.22118380062305293
3610043,0.22118380062305293
3610097,0.22118380062305293
3610168,0.22118380062305293
3610354,0.22118380062305293
3610413,0.22118380062305293
3611632,0.30348258706467657
3611633,0.30348258706467657
3611704,0.30348258706467657
3611722,0.30348258706467657
3611732,0.30348258706467657
3611741,0.30348258706467657
3613084,0.19431279620853079
3613231,0.19431279620853079
3613337,0.19431279620853079
3613569,0.19431279620853079
3614916,0.15492957746478875
3616325,0.15492957746478875
3617280,0.0995260663507109
3618553,0.0995260663507109
3619651,0.2592592592592593
3620072,0.2592592592592593
3621275,0.1208791208791209
3622702,0.21568627450980396
3623342,0.18032786885245905
3626016,0.21568627450980396
3632680,0.36936936936936937
3632718,0.36936936936936937
3633045,0.36936936936936937
3633099,0.36936936936936937
3634720,0.46564885496183206
3634721,0.46564885496183206
3634796,0.46564885496183206
3634910,0.46564885496183206
3634945,0.46564885496183206
3634946,0.46564885496183206
3858401,0.3548387096774194
3875451,1.0
3888241,0.21568627450980396
4082598,0.09090909090909093
4187775,0.5238095238095238
4189687,0.07801418439716312
4243283,0.3548387096774194
4380000,0.26829268292682934
4652142,0.26829268292682934
5240609,0.26829268292682934
5277241,11.0
5296520,11.0
5494228,0.1358024691358025
5497422,11.0
5568592,11.0
5733241,1.0
5874275,0.5238095238095238
6054492,0.1208791208791209
6256782,11.0
6341089,11.0
6490864,11.0
6587842,11.0
6597506,11.0
6623487,11.0
6645172,11.0
6757636,21.0
6757655,21.0
7040931,11.0
7357619,11.0
9232220,11.0
9466604,11.0
9734921,11.0
9839313,11.0
9882046,11.0
10013522,11.0
10019560,11.0
10653840,11.0
10875256,11.0
10915427,11.0
11017525,11.0
11162058,0.18032786885245905
11216880,11.0
11584680,11.0
11603365,11.0
11857798,11.0
11905532,21.0
11905533,21.0
11910437,11.0
11958727,11.0
12142019,11.0
12226541,11.0
12388772,11.0
12428465,11.0
12519166,11.0
12744959,11.0
12868750,11.0
12938363,11.0
12951556,11.0
12979403,11.0
12998781,11.0
13109959,11.0
13257751,11.0
13259080,11.0
13292116,11.0
13364090,11.0
13523759,11.0
13557058,11.0
13558808,11.0
13602448,11.0
13951731,11.0
13971534,11.0
14316111,11.0
14320073,11.0
14827688,11.0
14906702,11.0
15086825,11.0
15226631,11.0
15273655,0.5238095238095238
15286528,11.0
15593680,11.0
15609991,11.0
15644641,11.0
15714741,11.0
15777773,11.0
15848157,11.0
15861495,11.0
15876511,11.0
15907026,11.0
16119094,11.0
16143585,11.0
16148660,11.0
16219969,11.0
16238732,11.0
16256347,11.0
16456018,11.0
16597948,11.0
16683171,11.0
16792383,11.0
16838126,11.0
16863427,11.0
16875951,11.0
16982829,0.18032786885245905
17032160,11.0
17044105,11.0
17312141,11.0
17360989,11.0
17363726,11.0
17418367,0.26829268292682934
17421593,11.0
17435968,11.0
18274573,11.0
18359741,11.0
18574257,11.0
18606953,11.0
18774111,11.0
18779106,11.0
18808927,11.0
18816626,11.0
18908972,11.0
18946473,11.0
19068964,11.0
19181359,11.0
19237195,11.0
19308373,11.0
19309911,11.0
19352435,11.0
19581770,11.0
19592410,11.0
19697625,0.09909909909909911
