Position,Ratio
1116697,2.0
2327952,2.0
3588533,2.0
3991617,2.0
4197721,2.0
5271282,3.0
5276811,3.0
5740226,1.5
5741941,1.5
5901236,2.0
5938570,2.0
6026469,2.0
6646943,1.5
6681734,1.5
6934331,3.0
6972366,3.0
7598044,2.0
7774113,3.0
7860740,3.0
8351039,2.0
9042744,3.0
9060525,3.0
9170821,1.3333333333333333
9194612,1.3333333333333333
9216759,1.3333333333333333
9437278,2.0
9525661,2.0
9604887,2.0
10051518,2.0
10272949,2.0
10350722,3.0
10381734,3.0
10752574,2.0
10815851,3.0
10840841,3.0
11032576,2.0
11246132,2.0
11317344,3.0
11401354,3.0
11485861,3.0
11512534,3.0
11531972,3.0
11578640,3.0
11607709,3.0
11801531,2.0
11892292,3.0
11895819,3.0
11969678,3.0
12021302,3.0
12250838,5.0
12269904,5.0
12355279,5.0
12375231,5.0
13057133,2.0
13379621,1.5
13418344,1.5
14050488,2.0
14051638,2.0
14052672,2.0
15890027,4.0
15902129,4.0
15937317,4.0
17571721,2.0
25280015,2.0
